file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-config\dubbo-config-spring\src\main\java\org\apache\dubbo\config\spring\SpringScopeModelInitializer.java,org.apache.dubbo.config.spring.SpringScopeModelInitializer,class,4,4,0,4,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\issues\issue7003\Issue7003Test.java,org.apache.dubbo.config.spring.issues.issue7003.Issue7003Test$ClassA,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,7,8,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\utils\StringUtils.java,org.apache.dubbo.common.utils.StringUtils,class,8,57,49,8,233,1,0,113,2189,0.9898237,0.005817028,0.005817028,67,66,60,6,1,0,62,0,0,0,22,22,15,7,0,0,22,0,94,720,122,27,56,3,9,19,120,142,25,108,4,0,0,3,330,17,1
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\utils\ReferenceCacheTest.java,org.apache.dubbo.config.utils.ReferenceCacheTest,class,10,11,1,10,8,1,0,25,28,0.0,0.0,0.0,8,0,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,87,2,0,0,0,0,32,15,17,0,17,0,0,0,0,34,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\issues\issue7003\Issue7003Test.java,org.apache.dubbo.config.spring.issues.issue7003.Issue7003Test$ClassB,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,8,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-remoting\dubbo-remoting-api\src\test\java\org\apache\dubbo\remoting\exchange\support\header\HeaderExchangeChannelTest.java,org.apache.dubbo.remoting.exchange.support.header.HeaderExchangeChannelTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\CacheableRouterFactory.java,org.apache.dubbo.rpc.cluster.CacheableRouterFactory,class,3,3,0,3,2,1,0,3,1,0.5,0.0,0.0,2,0,1,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,2,0,0,0,1,30,1025,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-container\dubbo-container-api\src\main\java\org\apache\dubbo\container\Main.java,org.apache.dubbo.container.Main,class,4,5,1,4,7,1,0,27,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,6,6,2,4,0,0,6,0,5,63,0,2,0,2,0,11,2,10,3,9,2,1,0,0,60,1,4
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-compatible\src\test\java\org\apache\dubbo\cache\CacheTest.java,org.apache.dubbo.cache.CacheTest$NullInvocation,innerclass,2,2,0,2,12,1,0,0,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,38,12,0,0,0,0,0,2,0,0,0,0,0,0,0,24,8,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractMethodConfigTest.java,org.apache.dubbo.config.AbstractMethodConfigTest$MethodConfig,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\logger\jdk\JdkLoggerAdapter.java,org.apache.dubbo.common.logger.jdk.JdkLoggerAdapter,class,5,7,2,5,29,1,0,17,24,0.6666667,0.2857143,0.47619048,9,2,7,2,0,0,7,0,0,0,2,1,0,2,0,0,1,0,9,92,18,1,15,2,0,6,2,7,1,7,4,0,0,0,40,1,0
